Martial Art,Inernal or External,Additional(optional)
Shaolin Kung Fu,,
Chángquán,,
Shuai Jiao,,
Sumo,,
Savate,,
Lethwei,,
Shorinji Kempo,,
Pankration,,
Vovinam,,
Kajukenbo,,
Tang Soo Do,,
Taekkyeon,,
Systema,,
Bartitsu,,
Subak,,
Soo Bahk Do,,
Lathi Khela,,
Adithada,External,
Boxing,External,
Hap Ki Do,External,
Muay Thai,External,
Jūjutsu,External,
Judo,External,
Jeet Kune Do,External,
Karate Do,External,
Taekwondo,External,
Kickboxing,External,
Wrestling,External,
Brazilian Jiu-Jitsu,External,
Krav Maga,External,
Arnis (Kali/ Eskrima),External,
Silat,External,
Sanda,External,
Sambo,External,
Wing Chun Kuen,External,
Ying Quan,External,
Silambam,External,
Pehlwani,External,
Gatka,External,
Nguni Stick Fighting,External,
Fānziquán,External,
Dambe,External,
Piguaquan,External,
Tahtib,External,
Nuba Fighting,External,
Luta Livre,External,
Vale Tudo,External,
Daitō-ryū Aiki-jūjutsu,External,
Bafaquan,External,
Bajiquan,External,
Bak Mei,External,
Taidō,External,
Kyusho Jitsu,External,
Aikido,Internal,
Capoeira,Internal,
Kendo,Internal,
Taijiquan,Internal,
Baguazhang,Internal,
Engolo,Internal,
Istunka,Internal,
Kyūdō,Internal,
Iaido,Internal,
Ninjutsu,Internal,External
Kalaripayattu,Internal,External
Moraingy,Internal,External
Huka-Huka,Internal,External
Hung Ga Kuen,Internal,External
