Martial Art,Primary Purpose 1,Primary Purpose 2,Primary Pupose 3
Shaolin Kung Fu,,,
Chángquán,,,
Shuai Jiao,,,
Shorinji Kempo,,,
Tang Soo Do,,,
Taekkyeon,,,
Subak,,,
Lathi Khela,,,
Taijiquan,Health,Spiritual,
Adithada,Self-defence,,
Hap Ki Do,Self-defence,,
Jūjutsu,Self-defence,,
Jeet Kune Do,Self-defence,,
Krav Maga,Self-defence,,
Arnis (Kali/ Eskrima),Self-defence,,
Silat,Self-defence,,
Sambo,Self-defence,,
Wing Chun Kuen,Self-defence,,
Ying Quan,Self-defence,,
Ninjutsu,Self-defence,,
Silambam,Self-defence,,
Pehlwani,Self-defence,,
Gatka,Self-defence,,
Nguni Stick Fighting,Self-defence,,
Fānziquán,Self-defence,,
Piguaquan,Self-defence,,
Tahtib,Self-defence,,
Daitō-ryū Aiki-jūjutsu,Self-defence,,
Bafaquan,Self-defence,,
Bajiquan,Self-defence,,
Bak Mei,Self-defence,,
Kyusho Jitsu,Self-defence,,
Vovinam,Self-defence,,
Kajukenbo,Self-defence,,
Systema,Self-defence,,
Bartitsu,Self-defence,,
Soo Bahk Do,Self-defence,,
Taidō,Self-defence,Health,
Kalaripayattu,Self-defence,Health,Spiritual
Hung Ga Kuen,Self-defence,Health,Spiritual
Aikido,Self-defence,Spiritual,
Baguazhang,Self-defence,Spiritual,
Capoeira,Spiritual,,
Kendo,Spiritual,,
Engolo,Spiritual,,
Istunka,Spiritual,,
Kyūdō,Spiritual,,
Iaido,Spiritual,,
Taekwondo,Sport,,
Nuba Fighting,Sport,,
Luta Livre,Sport,,
Vale Tudo,Sport,,
Sumo,Sport,,
Pankration,Sport,,
Boxing,Sport,Self-defence,
Muay Thai,Sport,Self-defence,
Judo,Sport,Self-defence,
Karate Do,Sport,Self-defence,
Kickboxing,Sport,Self-defence,
Wrestling,Sport,Self-defence,
Brazilian Jiu-Jitsu,Sport,Self-defence,
Sanda,Sport,Self-defence,
Dambe,Sport,Self-defence,
Savate,Sport,Self-defence,
Lethwei,Sport,Self-defence,
Moraingy,Sport,Spiritual,
Huka-Huka,Sport,Spiritual,
